,w(nm),Rdry_um,RH_%,wp_%,Rwet_um,N,iK
3532,23529.4,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.7925799999999998,0.3944
3533,23529.4,0.0063002,95.0,15.0,0.013866114866903955,1.7925799999999998,0.3944
3534,23529.4,0.0063002,99.0,15.0,0.013866114866903955,1.7925799999999998,0.3944
3535,17699.1,0.0063002,0.0,99.0,0.0063002,1.1684,0.25825
3536,17699.1,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.7588,0.44598000000000004
3537,17699.1,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.98708,0.64156
3538,17699.1,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.9542,0.66577
3539,17699.1,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.9542,0.66577
3540,17699.1,0.0063002,95.0,15.0,0.013866114866903955,1.9542,0.66577
3541,17699.1,0.0063002,99.0,15.0,0.013866114866903955,1.9542,0.66577
3542,15037.6,0.0063002,0.0,99.0,0.0063002,1.1684,0.25825
3543,15037.6,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.50274,0.36167
3544,15037.6,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.5716700000000001,0.31803000000000003
3545,15037.6,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.57217,0.26882
3546,15037.6,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.57217,0.26882
3547,15037.6,0.0063002,95.0,15.0,0.013866114866903955,1.57217,0.26882
3548,15037.6,0.0063002,99.0,15.0,0.013866114866903955,1.57217,0.26882
3549,13157.9,0.0063002,0.0,99.0,0.0063002,1.1684,0.25825
3550,13157.9,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.53372,0.29223000000000005
3551,13157.9,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.68928,0.27793
3552,13157.9,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.6818400000000002,0.22673000000000001
3553,13157.9,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.6818400000000002,0.22673000000000001
3554,13157.9,0.0063002,95.0,15.0,0.013866114866903955,1.6818400000000002,0.22673000000000001
3555,13157.9,0.0063002,99.0,15.0,0.013866114866903955,1.6818400000000002,0.22673000000000001
3556,11111.1,0.0063002,0.0,99.0,0.0063002,1.17963,0.16362000000000002
3557,11111.1,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.58816,0.34449
3558,11111.1,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.75642,0.55945
3559,11111.1,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.8153599999999999,0.55738
3560,11111.1,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.8153599999999999,0.55738
3561,11111.1,0.0063002,95.0,15.0,0.013866114866903955,1.8153599999999999,0.55738
3562,11111.1,0.0063002,99.0,15.0,0.013866114866903955,1.8153599999999999,0.55738
3563,9708.7,0.0063002,0.0,99.0,0.0063002,1.31588,0.10282999999999999
3564,9708.7,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.64126,0.50805
3565,9708.7,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.85903,0.75489
3566,9708.7,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.89684,0.72433
3567,9708.7,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.89684,0.72433
3568,9708.7,0.0063002,95.0,15.0,0.013866114866903955,1.89684,0.72433
3569,9708.7,0.0063002,99.0,15.0,0.013866114866903955,1.89684,0.72433
3570,8849.6,0.0063002,0.0,99.0,0.0063002,1.2786899999999999,0.14877
3571,8849.6,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.43068,0.51564
3572,8849.6,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.60342,0.7772399999999999
3573,8849.6,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.59051,0.80475
3574,8849.6,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.59051,0.80475
3575,8849.6,0.0063002,95.0,15.0,0.013866114866903955,1.59051,0.80475
3576,8849.6,0.0063002,99.0,15.0,0.013866114866903955,1.59051,0.80475
3577,7782.1,0.0063002,0.0,99.0,0.0063002,1.2991,0.06548
3578,7782.1,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.24661,0.24336999999999998
3579,7782.1,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.13466,0.40662
3580,7782.1,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.08191,0.42723
3581,7782.1,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.08191,0.42723
3582,7782.1,0.0063002,95.0,15.0,0.013866114866903955,1.08191,0.42723
3583,7782.1,0.0063002,99.0,15.0,0.013866114866903955,1.08191,0.42723
3584,6968.6,0.0063002,0.0,99.0,0.0063002,1.3310899999999999,0.05546
3585,6968.6,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.32694,0.17254
3586,6968.6,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.28091,0.17242000000000002
3587,6968.6,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.26475,0.11897999999999999
3588,6968.6,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.26475,0.11897999999999999
3589,6968.6,0.0063002,95.0,15.0,0.013866114866903955,1.26475,0.11897999999999999
3590,6968.6,0.0063002,99.0,15.0,0.013866114866903955,1.26475,0.11897999999999999
3591,6097.6,0.0063002,0.0,99.0,0.0063002,1.35333,0.11940999999999999
3592,6097.6,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.41801,0.21763000000000002
3593,6097.6,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.45488,0.21736999999999998
3594,6097.6,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.4392,0.17803
3595,6097.6,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.4392,0.17803
3596,6097.6,0.0063002,95.0,15.0,0.013866114866903955,1.4392,0.17803
3597,6097.6,0.0063002,99.0,15.0,0.013866114866903955,1.4392,0.17803
3598,5154.6,0.0063002,0.0,99.0,0.0063002,1.33661,0.02925
3599,5154.6,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.30778,0.14709
3600,5154.6,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.3515,0.15088
3601,5154.6,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.3947100000000001,0.13142
3602,5154.6,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.3947100000000001,0.13142
3603,5154.6,0.0063002,95.0,15.0,0.013866114866903955,1.3947100000000001,0.13142
3604,5154.6,0.0063002,99.0,15.0,0.013866114866903955,1.3947100000000001,0.13142
3605,4618.9,0.0063002,0.0,99.0,0.0063002,1.35765,0.034339999999999996
3606,4618.9,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.34336,0.122
3607,4618.9,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.40254,0.1504
3608,4618.9,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.4292,0.15897
3609,4618.9,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.4292,0.15897
3610,4618.9,0.0063002,95.0,15.0,0.013866114866903955,1.4292,0.15897
3611,4618.9,0.0063002,99.0,15.0,0.013866114866903955,1.4292,0.15897
3612,4319.7,0.0063002,0.0,99.0,0.0063002,1.36208,0.026660000000000003
3613,4319.7,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.3489799999999998,0.11617999999999999
3614,4319.7,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.4034799999999998,0.14305
3615,4319.7,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.4226299999999998,0.14786
3616,4319.7,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.4226299999999998,0.14786
3617,4319.7,0.0063002,95.0,15.0,0.013866114866903955,1.4226299999999998,0.14786
3618,4319.7,0.0063002,99.0,15.0,0.013866114866903955,1.4226299999999998,0.14786
3619,4016.1,0.0063002,0.0,99.0,0.0063002,1.37985,0.021269999999999997
3620,4016.1,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.35589,0.10693
3621,4016.1,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.41002,0.16097999999999998
3622,4016.1,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.42133,0.17598
3623,4016.1,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.42133,0.17598
3624,4016.1,0.0063002,95.0,15.0,0.013866114866903955,1.42133,0.17598
3625,4016.1,0.0063002,99.0,15.0,0.013866114866903955,1.42133,0.17598
3626,3418.8,0.0063002,0.0,99.0,0.0063002,1.46696,0.04867
3627,3418.8,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.37087,0.12380999999999999
3628,3418.8,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.3584200000000002,0.19497
3629,3418.8,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.33731,0.20684
3630,3418.8,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.33731,0.20684
3631,3418.8,0.0063002,95.0,15.0,0.013866114866903955,1.33731,0.20684
3632,3418.8,0.0063002,99.0,15.0,0.013866114866903955,1.33731,0.20684
3633,3444.7,0.0063002,0.0,99.0,0.0063002,1.46023,0.04383
3634,3444.7,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.37002,0.12021
3635,3444.7,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.36459,0.19426
3636,3444.7,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.34466,0.20765
3637,3444.7,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.34466,0.20765
3638,3444.7,0.0063002,95.0,15.0,0.013866114866903955,1.34466,0.20765
3639,3444.7,0.0063002,99.0,15.0,0.013866114866903955,1.34466,0.20765
3640,2777.0,0.0063002,0.0,99.0,0.0063002,1.12476,0.05297
3641,2777.0,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.19429,0.047369999999999995
3642,2777.0,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.27278,0.03505
3643,2777.0,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.29675,0.02019
3644,2777.0,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.29675,0.02019
3645,2777.0,0.0063002,95.0,15.0,0.013866114866903955,1.29675,0.02019
3646,2777.0,0.0063002,99.0,15.0,0.013866114866903955,1.29675,0.02019
3647,2320.2,0.0063002,0.0,99.0,0.0063002,1.2971,0.0
3648,2320.2,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.33247,0.00098
3649,2320.2,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.37501,0.00847
3650,2320.2,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.37632,0.00346
3651,2320.2,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.37632,0.00346
3652,2320.2,0.0063002,95.0,15.0,0.013866114866903955,1.37632,0.00346
3653,2320.2,0.0063002,99.0,15.0,0.013866114866903955,1.37632,0.00346
3654,2044.2,0.0063002,0.0,99.0,0.0063002,1.31762,0.0
3655,2044.2,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.35461,0.00233
3656,2044.2,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.39689,0.01065
3657,2044.2,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.3966,0.00455
3658,2044.2,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.3966,0.00455
3659,2044.2,0.0063002,95.0,15.0,0.013866114866903955,1.3966,0.00455
3660,2044.2,0.0063002,99.0,15.0,0.013866114866903955,1.3966,0.00455
3661,1778.4,0.0063002,0.0,99.0,0.0063002,1.3290600000000001,0.0
3662,1778.4,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.36788,0.00541
3663,1778.4,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.40773,0.01326
3664,1778.4,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.40978,0.00796
3665,1778.4,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.40978,0.00796
3666,1778.4,0.0063002,95.0,15.0,0.013866114866903955,1.40978,0.00796
3667,1778.4,0.0063002,99.0,15.0,0.013866114866903955,1.40978,0.00796
3668,1455.2,0.0063002,0.0,99.0,0.0063002,1.33259,0.0
3669,1455.2,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.37754,0.00919
3670,1455.2,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.41621,0.01605
3671,1455.2,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.41831,0.012
3672,1455.2,0.0063002,90.0,17.952167849327296,0.012962059435986176,1.41831,0.012
3673,1455.2,0.0063002,95.0,15.0,0.013866114866903955,1.41831,0.012
3674,1455.2,0.0063002,99.0,15.0,0.013866114866903955,1.41831,0.012
3675,1270.3,0.0063002,0.0,99.0,0.0063002,1.33259,0.0
3676,1270.3,0.0063002,50.0,39.84258087455865,0.009442916790342292,1.37965,0.01137
3677,1270.3,0.0063002,70.0,30.549615354778165,0.010534481799841242,1.4179,0.01732
3678,1270.3,0.0063002,80.0,25.469146223621202,0.011325714604705677,1.42001,0.013669999999999998
